cond,az,v,r,trial,min_dist,final_y,final_x,final_yaw,peak_turn,mean_abs_turn,peak_gf,max_active
real,15,3.0,0.3,1,1.9512405306045064,-2.708572859391949,-1.9929593503045047,-112.17757882217037,1.0,0.30273151694808104,1.0,332
real,15,3.0,0.3,2,1.9758599148293565,-2.7325454799604043,-2.0381149882079677,-113.46256239289465,1.0,0.30587437594528455,1.0,319
nobrain,15,3.0,0.45,0,2.7440206452613393e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,15,3.0,0.45,0,2.096697888576008,-2.8406939269909475,-2.044119451122416,-111.0789386899584,1.0,0.29940447854773555,1.0,348
real,15,3.0,0.45,1,2.143929614259327,-2.8877166884414645,-2.1431613973724173,-113.73296239921106,1.0,0.3063972161117662,1.0,351
real,15,3.0,0.45,2,2.14280466396576,-2.889577442196943,-2.1528690262751113,-113.91569122108571,1.0,0.3069405197620779,1.0,364
nobrain,30,1.0,0.2,0,8.1272604421008e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,1.0,0.2,0,1.5271909782305357,-2.020547126595403,-0.7238320476501586,-51.170651821451315,0.838635740595087,0.060714285714285714,0.7795115997734656,185
real,30,1.0,0.2,1,1.5709186220566014,-2.0686224459018003,-0.7813360641463426,-53.18145452075516,0.8929981055415379,0.0630952380952381,0.8453001454203231,190
real,30,1.0,0.2,2,1.4420687829041057,-1.9270481164673257,-0.6588413671024426,-48.39575533903063,1.0,0.05743579433740813,0.8583269761360749,184
nobrain,30,1.0,0.3,0,8.1272604421008e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,1.0,0.3,0,1.7149367864845928,-2.2141337416062408,-0.9184196422860887,-54.093825912144524,0.7561728501048383,0.06428571428571428,0.8192729974909595,191
real,30,1.0,0.3,1,1.6245770928337353,-2.1239039549226573,-0.8193508756858928,-51.09579082175392,0.8972835007672733,0.060714285714285714,0.678440559165013,165
real,30,1.0,0.3,2,1.54430418936586,-2.036787683288544,-0.7138452232165087,-47.08016651377841,0.4382276966919668,0.05595238095238095,0.758572877130409,187
nobrain,30,1.0,0.45,0,8.1272604421008e-13,0.0,0.0,0.0,0.0,0.0,0.0,0
real,30,1.0,0.45,0,1.7586961117389908,-2.2586200998812336,-0.882356872914421,-50.063814004464454,0.5731680468763231,0.05952380952380952,0.7497929722189169,159
