root_id,baseline,LPLC2_L,LPLC2_R,LPLC2_both,LC4_L,LC4_R,LC4_LPLC2_L,cell_type,side
720575940619332944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg99,right
720575940638175558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge072,right
720575940621401222,0.0,0.0,80.75,77.25,0.0,0.0,0.0,DNpe025,right
720575940632043320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge130,right
720575940629965708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge091,right
720575940638664355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg46,left
720575940633995181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg53,left
720575940620815896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge071,left
720575940619090541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe009,left
720575940631627551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge115,left
720575940637126007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp56,right
720575940624882151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge094,right
720575940636592302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe019,right
720575940619451989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe033,left
720575940627652358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp09,right
720575940631051065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge116,left
720575940613686954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge081,left
720575940621325034,0.0,1.25,0.0,0.0,0.0,0.0,0.0,DNg04,right
720575940644758308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge046,left
720575940633041503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg06,right
720575940639919824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe010,left
720575940621388453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNd02,left
720575940619944513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg10,right
720575940626165489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe008,right
720575940618382529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNp16,left
720575940646173748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,oviDNa_b,right
720575940610231509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg90,left
720575940614736034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge140,right
720575940631110095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg80,right
720575940611756723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg65,right
720575940615679282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg02_h,right
720575940611981029,0.0,3.75,0.0,0.0,0.0,0.25,0.75,DNg111,right
720575940611610670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge091,left
720575940614478658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg36_b,left
720575940605950496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg76,left
720575940614363619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNpe047,right
720575940611108676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge138,center
720575940626278129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNg02_f,left
720575940650282742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge005,left
720575940639088216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DNge030,left
